Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Book value,Price to book value,Piotroski score,Industry PE,PE Variance,Promoter holding,Change in promoter holding 3Years,FII holding,DII holding,Contingent liabilities,Pledged percentage,EVEBITDA,Enterprise Value,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Return over 3months,Return over 6months,Return over 1year,Return over 3years
Integ. Capital,539149,,Miscellaneous,2.55,9.07,3.01,1.48,1.73,5.00,26.63,0.11,74.96,4.03,0.00,0.00,0.00,0.00,4.55,13.66,2.04,1.93,2.02,1.93,16.97,123.68,94.66,-9.67
Integ. Fin. Serv,500212,,Finance & Investments,28.95,17.37,,76.98,0.38,2.00,10.06,,74.57,0.00,0.00,0.00,0.00,0.00,-7.03,17.30,29.08,28.33,29.09,28.32,-8.10,-4.14,25.87,-5.22
Integra Capital,531314,,Finance & Investments,11.44,5.38,28.32,7.76,1.47,4.00,17.34,1.63,75.00,0.00,0.00,0.00,0.00,0.00,24.36,5.36,14.23,19.82,14.35,19.91,-40.57,-74.46,-75.79,-34.17
Integra Engg.,505358,,Textile Machinery,29.85,102.22,21.52,8.99,3.32,4.00,79.41,0.27,54.67,0.00,0.00,0.28,3.40,0.00,12.69,115.23,29.21,28.99,29.18,28.98,-5.39,27.02,40.14,-19.02
Integra Garments,535958,INTEGRA,Textiles - Products,4.40,15.99,,-8.31,,3.00,19.87,,59.39,-2.58,0.00,5.37,0.00,0.00,-278.50,44.56,2.75,1.76,2.68,1.73,238.46,203.45,1000.00,25.05
Integra Tele.,536868,,Computers - Software - Medium / Small,36.15,38.17,56.97,8.04,4.50,3.00,27.79,2.05,62.44,0.00,0.00,0.00,0.00,0.00,56.34,38.31,32.53,30.52,32.38,30.46,23.17,27.29,0.28,-10.84
Intellect Design,538835,INTELLECT,Computers - Software - Medium / Small,795.85,10582.76,47.42,89.92,8.85,4.00,27.79,1.71,31.23,0.17,27.21,2.99,43.75,0.00,31.92,10542.48,629.47,405.20,622.68,401.27,76.82,232.57,1084.30,55.81
Intelli.Capital.,534732,,Finance & Investments,3.93,12.20,67.78,1.27,3.11,3.00,17.34,3.91,43.97,-23.58,0.00,0.00,0.00,0.00,57.90,12.16,5.17,5.88,5.22,5.90,5.36,22.81,-6.43,-33.72
Intellivate Capi,506134,,Finance & Investments,3.30,9.60,68.57,1.69,1.95,6.00,17.34,3.95,33.81,-31.91,0.00,0.00,0.00,0.00,53.00,9.54,3.41,12.31,3.41,12.40,3.12,-10.81,-1.49,-28.45
Intense Tech.,532326,INTENTECH,Computers - Software - Medium / Small,44.30,99.34,5.47,29.24,1.51,6.00,27.79,0.20,18.28,-0.18,0.00,0.00,10.09,9.15,4.05,92.49,38.16,35.75,37.91,35.66,10.75,32.44,153.87,-14.79
Inter Globe Fin,511391,,Finance & Investments,11.05,7.54,3.93,133.68,0.08,4.00,17.34,0.23,70.68,0.00,0.00,0.00,0.00,0.00,1.54,9.44,11.16,8.83,11.17,8.81,6.05,161.85,67.93,-26.52
Inter State Oil,530259,,Miscellaneous,9.90,4.94,12.67,26.70,0.37,8.00,30.92,0.41,41.03,5.76,0.00,0.00,2.40,0.00,3.18,9.99,9.50,9.20,9.48,9.19,15.79,18.56,44.31,-20.83
Interactive Fin,539692,,Computers - Software - Medium / Small,8.08,2.43,10.12,15.66,0.52,6.00,27.79,0.36,27.78,-15.93,0.00,0.00,0.00,0.00,5.20,2.13,6.37,11.98,6.30,12.02,24.88,-49.18,-64.72,-33.11
Interglobe Aviat,539448,INDIGO,Transport - Airlines,1640.60,63148.33,,47.41,34.60,3.00,3.77,,74.84,-0.09,18.34,4.80,1377.12,0.00,147.18,76945.29,1630.35,1515.80,1629.93,1514.55,-2.39,10.03,76.78,11.89
Interworld Digi.,532072,,Computers - Software - Medium / Small,0.15,7.18,,2.54,0.06,5.00,27.79,,10.93,0.00,0.00,0.00,0.00,0.00,-870.00,8.70,0.15,0.15,0.15,0.15,0.00,0.00,0.00,0.00
Intl Construct,,SUBCAPCITY,Construction,17.00,6.17,,73.50,0.23,2.00,14.45,,75.00,,,,51.47,0.00,-3.59,14.99,18.09,19.20,18.13,19.22,-16.87,-21.11,240.00,
Intl. Combustion,505737,,Engineering,181.10,43.28,,365.81,0.50,2.00,20.39,,52.79,0.00,0.00,0.01,0.69,0.00,47.33,54.90,174.16,162.43,173.88,162.25,12.66,40.50,70.37,-25.96
Intl. Conveyors,509709,,Engineering,42.60,287.55,26.12,20.73,2.05,7.00,20.39,1.28,61.74,19.45,17.56,0.00,5.36,0.00,18.06,326.27,43.04,35.28,43.06,35.21,33.12,47.40,127.81,12.52
Intl. Data Mgt.,517044,,Computers - Software - Medium / Small,5.29,1.16,,-9.82,,3.00,27.79,,25.32,-0.04,0.00,0.01,0.00,0.00,-61.50,4.92,5.04,7.44,5.03,7.46,6.22,-15.22,-8.79,-29.35
Intl. Travel Hse,500213,,Travel Agencies,59.10,47.22,,131.85,0.45,5.00,25.71,,61.69,0.00,0.00,0.00,0.24,0.00,-0.50,17.62,59.93,58.72,59.96,58.72,1.03,18.20,49.62,-32.83
Intrasoft Tech.,533181,ISFT,Computers - Software - Medium / Small,85.00,125.21,18.77,101.62,0.84,4.00,27.79,0.68,47.68,0.16,13.33,0.00,0.49,0.00,16.21,216.36,77.18,72.72,76.87,72.60,26.39,15.33,87.43,-47.47
Inv.& Prec.Cast.,504786,,Castings & Forgings,232.05,116.03,,136.56,1.70,3.00,38.75,,50.79,0.78,0.00,0.00,0.19,0.00,18.07,171.30,198.20,183.32,196.82,182.83,9.48,62.84,78.91,-17.97
Inventure Grow.,533506,INVENTURE,Finance & Investments,26.80,225.12,22.92,20.78,1.29,6.00,17.34,1.32,27.59,0.00,0.00,0.00,2.25,0.00,10.11,151.82,25.37,20.82,25.31,20.76,61.93,50.14,133.04,18.76
IO System,523752,,Miscellaneous,1.66,2.81,0.66,-1.96,,4.00,26.63,0.02,75.00,0.09,0.00,0.00,0.00,0.00,1.31,5.97,1.88,2.35,1.88,2.36,-19.42,-36.15,2.47,-16.39
IOL Chemicals,524164,IOLCP,Pharmaceuticals - Indian - Bulk Drugs & Formln,644.60,3784.16,8.23,186.49,3.46,7.00,27.08,0.30,43.69,2.50,5.96,0.06,0.52,0.00,5.50,3527.28,612.39,617.20,611.07,616.92,-7.09,-4.98,97.13,84.34
ION Exchange,500214,,Engineering,1437.55,2108.41,20.72,276.00,5.21,7.00,20.39,1.02,27.01,-17.03,0.85,6.78,29.63,0.00,9.49,1765.55,1280.66,1036.21,1274.26,1032.18,17.66,89.80,106.38,43.34
IP Rings,523638,,Auto Ancillaries,95.20,120.67,,77.01,1.24,5.00,35.33,,56.58,0.00,0.00,0.00,5.74,0.00,9.62,194.45,85.96,70.09,85.59,69.84,25.43,140.40,149.21,-15.50
Ipca Labs.,524494,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,2056.30,26084.60,24.50,344.73,5.96,7.00,27.08,0.90,46.29,0.16,17.47,24.82,42.08,0.00,16.78,25725.93,2028.44,1951.92,2027.31,1950.87,6.43,-9.11,32.47,42.22
IRB Infra.Devl.,532947,IRB,Construction,106.85,3755.24,27.53,186.12,0.57,6.00,22.98,1.20,58.60,1.23,15.16,11.37,764.86,17.31,7.13,17467.33,108.00,108.04,108.05,108.05,-0.84,-4.13,65.66,-25.56
IRB InvIT Fund,540526,,Construction,54.80,3175.92,18.30,79.68,0.69,6.00,18.30,1.00,0.00,,,,32.89,0.00,5.21,4749.94,53.59,47.90,53.54,47.83,11.84,43.91,54.80,-12.72
Ircon Intl.,541956,IRCON,Construction,88.55,4164.13,12.39,89.14,0.99,8.00,22.98,0.54,73.18,73.18,1.59,0.34,1238.34,0.00,4.37,2481.76,88.49,87.56,88.49,87.55,3.39,14.63,6.18,
IRIS Business,540735,,Computers - Software - Medium / Small,45.00,85.15,181.17,13.02,3.46,9.00,27.79,6.52,38.70,-0.61,0.00,0.00,2.28,30.41,11.44,94.49,38.24,32.11,37.97,31.98,21.62,40.62,180.37,-9.07
Iris Clothings,,IRISDOREME,Textiles - Products,116.45,189.98,29.09,23.80,4.89,5.00,19.87,1.46,67.40,,,,1.36,0.00,12.59,215.84,95.66,98.75,94.81,98.57,111.73,252.88,-16.82,
Ironwood Educa,508918,,Miscellaneous,29.75,23.53,,21.21,1.40,5.00,15.16,,54.82,4.94,1.26,2.03,0.00,0.00,-37.35,26.89,23.32,26.96,23.06,26.93,13.55,0.34,-17.59,-10.86
ISF,526859,,Finance & Investments,1.86,17.67,47.76,1.39,1.34,7.00,17.34,2.75,9.59,-34.84,0.00,0.00,0.11,0.00,36.38,20.01,1.21,0.85,1.18,0.84,232.14,106.67,708.70,57.07
ISGEC Heavy,533033,ISGEC,Engineering,551.05,4051.84,20.39,259.37,2.12,5.00,20.39,1.00,62.43,0.16,1.94,6.95,451.25,0.00,10.48,4675.82,501.92,391.14,499.92,389.54,16.59,102.78,136.50,-4.05
Ishaan Infrastru,540134,,,4.90,3.17,,10.67,0.46,4.00,17.37,,13.11,-2.89,0.00,0.00,0.00,0.00,-5.87,4.17,4.70,6.46,4.69,6.48,4.26,4.93,-48.69,-39.01
Ishan Dyes & Ch.,531109,,Dyes And Pigments,64.90,103.63,8.59,35.85,1.81,8.00,22.02,0.39,58.52,16.83,0.00,0.00,0.04,0.00,5.94,105.17,53.93,45.86,53.48,45.67,18.76,47.67,191.69,16.56
Ishita Drugs,524400,,Pharmaceuticals - Indian - Bulk Drugs,30.00,8.97,16.31,24.08,1.25,7.00,19.45,0.84,47.87,0.82,0.00,0.00,0.00,0.00,8.35,8.10,30.62,26.28,30.65,26.24,-2.60,29.31,119.78,24.89
ISL Consulting,511609,,Finance & Investments,11.30,27.12,8.14,5.42,2.08,5.00,17.34,0.47,60.19,6.03,0.00,0.00,0.00,0.00,7.29,27.04,11.15,11.15,11.14,11.15,7.11,9.71,-19.29,-0.29
ISMT,532479,ISMTLTD,Steel - Medium / Small,15.00,219.75,,-87.89,,4.00,16.37,,51.71,0.12,0.72,1.39,267.21,90.94,98.79,1277.41,11.13,9.55,10.98,9.49,28.21,81.82,305.41,25.16
IST,508807,,Auto Ancillaries,381.05,444.46,5.26,736.85,0.52,5.00,35.33,0.15,74.98,-0.01,0.00,0.01,0.67,0.00,3.45,443.58,386.56,371.49,386.79,371.39,-4.69,-3.91,60.37,-5.46
iStreet Network,524622,,Trading,1.62,3.45,,-0.93,,3.00,212.60,,46.20,0.00,0.00,0.00,0.00,0.00,-61.63,4.93,1.51,2.93,1.50,2.95,-28.95,-17.35,-17.35,-31.63
ITC,500875,ITC,Cigarettes,205.35,252762.12,19.06,48.00,4.28,6.00,14.16,1.35,0.00,0.00,12.79,42.50,1532.20,0.00,12.88,249220.04,208.39,204.50,208.51,204.49,-12.37,18.84,29.76,-10.07
ITD Cem,509496,ITDCEM,Construction,74.95,1287.55,,57.07,1.31,6.00,14.45,,46.64,0.00,10.91,20.33,1716.94,0.00,7.09,1612.26,74.66,65.72,74.65,65.63,11.28,44.13,114.76,-24.60
ITI,523610,ITI,Telecommunications - Equipment,120.50,11248.95,,23.30,5.17,6.00,31.42,,90.09,-2.54,0.02,0.00,1147.85,0.00,249.81,12632.97,115.40,117.77,115.19,117.74,-4.06,-2.23,48.95,1.13
ITL Industries,522183,,Engineering,106.80,34.22,7.28,142.22,0.75,3.00,20.39,0.36,44.98,1.03,0.00,0.00,1.21,0.00,5.51,52.05,102.43,89.60,102.25,89.42,18.34,70.61,125.55,-27.12
IVP,507580,IVP,Chemicals,116.75,120.60,,66.06,1.77,4.00,25.38,,71.32,0.46,0.00,0.03,20.29,0.00,20.39,216.37,107.82,83.14,107.46,82.80,47.41,171.83,247.47,-17.82
Iykot Hitech,522245,,Engineering,8.00,4.87,,6.71,1.19,2.00,20.39,,54.00,1.19,0.00,0.22,0.00,0.00,20.94,3.56,7.00,6.17,6.96,6.15,32.45,56.86,38.41,11.00
IZMO,532341,IZMO,Computers - Software - Medium / Small,84.30,111.21,4.43,168.49,0.50,6.00,27.79,0.16,29.05,-1.09,0.00,0.00,0.00,0.00,2.35,106.50,62.90,47.93,62.03,47.56,80.51,126.61,454.61,-7.50
J & K Bank,532209,J&KBANK,Banks - Private Sector,24.90,1776.49,,88.95,0.28,3.00,21.48,,68.18,8.95,3.59,0.19,6917.56,0.00,20.45,91789.30,25.57,23.88,25.59,23.87,-17.41,59.62,91.54,-22.06
J B Chem & Pharm,506943,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1455.60,11249.18,28.30,210.40,6.92,8.00,27.08,1.05,55.91,0.07,7.54,13.17,74.35,0.00,18.18,11243.40,1261.32,1037.27,1253.39,1033.07,44.29,45.15,125.57,65.09
J D Orgochem,524592,,Dyes And Pigments,3.18,4.21,,-13.79,,2.00,22.02,,63.83,0.00,0.06,0.05,1.28,0.00,-136.88,21.90,3.30,3.20,3.31,3.20,0.95,11.58,20.00,1.74
J J Finance Corp,523062,,Finance & Investments,5.88,1.66,15.09,32.34,0.18,3.00,17.34,0.87,50.53,4.54,0.00,0.00,0.00,0.00,2.90,0.84,6.41,14.60,6.43,14.69,9.09,0.68,-43.73,-48.78
J K Cements,532644,JKCEMENT,Cement - North India,2779.55,21477.10,32.66,427.18,6.51,7.00,18.35,1.78,57.65,-6.51,16.86,20.63,665.53,0.00,15.26,23689.76,2741.43,2196.82,2739.88,2190.97,24.19,45.71,153.86,40.55
J Kumar Infra,532940,JKIL,Construction,174.15,1317.71,21.16,239.09,0.73,6.00,22.98,0.92,46.50,2.56,8.54,10.62,2790.84,22.73,4.14,1347.28,180.98,151.58,181.26,151.36,3.02,63.21,135.02,-14.96
J L Morison(I),506522,,Trading,1950.00,267.15,90.56,1112.89,1.75,5.00,41.36,2.19,74.89,0.00,0.00,0.01,3.60,0.00,52.88,261.22,1954.13,1870.15,1954.30,1869.35,-4.18,2.86,12.39,6.19
J R Foods,530915,,Solvent Extraction,3.15,2.99,,-47.04,,6.00,23.44,,51.80,-7.11,0.00,0.11,0.00,0.00,104.67,63.85,3.13,3.72,3.13,3.72,-11.76,28.05,41.89,-33.70
J Taparia Proj,538539,,Finance & Investments,1.30,2.11,35.17,9.55,0.14,6.00,17.34,2.03,27.37,0.00,0.00,0.00,0.00,0.00,34.67,2.08,1.46,1.03,1.47,1.03,36.84,202.33,550.00,-46.03
Jagan Lamps,530711,,Auto Ancillaries,31.90,22.01,12.95,29.18,1.09,8.00,35.33,0.37,55.51,0.60,0.00,0.00,3.00,0.00,6.83,22.66,30.49,25.24,30.43,25.17,-6.45,82.29,131.16,21.02
Jagatjit Inds.,507155,,Breweries & Distilleries,37.75,174.22,,8.47,4.45,4.00,12.38,,74.72,0.00,0.00,8.22,11.48,0.00,50.88,376.51,37.67,35.87,37.67,35.85,-3.21,22.37,30.17,-27.97
Jagjanani Text.,532825,,Textiles - Cotton/Blended,0.53,0.83,0.17,-2.37,,5.00,13.05,0.01,24.56,0.00,0.00,0.00,0.00,0.00,0.85,4.25,0.62,0.64,0.62,0.64,-19.70,-7.02,112.00,-0.62
Jagran Prakashan,532705,JAGRAN,Entertainment / Electronic Media Software,53.85,1498.00,23.98,68.06,0.79,5.00,10.97,2.19,65.77,4.92,1.70,17.02,0.00,99.99,7.28,1742.34,55.36,49.42,55.42,49.38,24.94,45.34,35.64,-31.36
Jagsonpal Fin.,530601,,Finance & Investments,1.13,0.62,,1.60,0.71,3.00,17.34,,55.94,0.00,0.00,0.03,0.00,0.00,-1.10,0.56,1.86,2.91,1.89,2.93,-49.78,-55.51,-51.91,-51.67
Jagsonpal Pharma,507789,JAGSNPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,97.30,254.91,18.87,44.87,2.17,6.00,27.08,0.70,70.34,1.17,0.00,0.00,6.06,0.00,11.58,204.81,87.60,67.51,87.20,67.21,29.99,147.58,308.82,51.38
Jai Balaji Inds.,532976,JAIBALAJI,Steel - Sponge Iron,51.85,572.72,,-159.98,,5.00,12.98,,50.98,-7.44,2.75,0.00,425.66,92.86,77.36,4024.06,39.45,27.66,38.94,27.42,116.95,211.41,176.53,67.16
Jai Corp,512237,JAICORPLTD,Plastics Products,87.80,1566.79,19.29,73.66,1.19,7.00,21.87,0.88,73.01,0.00,4.74,1.61,52.66,0.00,11.75,1747.43,87.94,88.87,87.95,88.88,-2.34,4.15,32.03,-16.03
Jaihind Synth,514312,,Textiles - Processing,4.73,4.04,67.33,17.53,0.27,4.00,16.32,4.13,9.30,0.14,0.00,0.00,0.00,0.00,101.00,4.04,3.12,2.98,3.06,2.97,65.96,75.84,121.03,16.52
Jain Irrigat-DVR,570004,JISLDVREQS,Plastics Products,12.90,24.89,,1208.04,0.01,0.00,21.87,,30.37,0.00,0.00,0.01,,0.00,,3007.98,12.78,12.30,12.77,12.29,0.00,25.85,48.28,-42.05
Jain Irrigation,500219,JISLJALEQS,Plastics Products,19.05,970.47,,62.56,0.30,3.00,21.87,,28.65,0.19,5.76,0.01,724.17,49.95,281.92,6991.51,19.24,17.71,19.25,17.70,-3.30,25.74,115.25,-44.63
Jain Marmo Inds,539119,,Miscellaneous,16.95,5.31,,11.91,1.42,8.00,26.63,,53.73,0.01,0.00,4.79,0.00,0.00,32.05,7.05,16.18,14.06,16.15,14.03,4.31,-14.39,30.38,4.86
Jain Studios,532033,JAINSTUDIO,Entertainment / Electronic Media Software,2.26,6.46,,12.17,0.19,2.00,19.94,,59.87,0.00,0.00,0.00,659.33,93.02,-5.51,6.45,1.98,2.15,2.00,2.15,-23.39,45.81,151.11,-12.30
Jainco Projects,526865,,Construction,2.37,2.37,,10.63,0.22,3.00,14.45,,28.93,0.00,0.00,0.00,0.00,0.00,,7.29,1.67,1.73,1.65,1.72,276.19,393.75,393.75,11.06
Jainex Aamcol,505212,,Auto Ancillaries,40.25,6.04,,21.19,1.90,4.00,35.33,,74.98,0.00,0.00,11.49,0.00,0.00,12.92,8.27,47.21,52.29,47.50,52.41,-0.98,-0.98,-4.17,-11.59
Jaipan Industrie,505840,,Domestic Appliances,8.83,5.39,107.80,22.89,0.39,4.00,67.10,1.61,40.25,0.25,0.00,0.00,0.00,2.04,16.18,9.06,7.98,8.24,7.94,8.23,-6.86,30.81,16.18,-42.83
Jakharia Fabric,,JAKHARIA,Textiles - Products,147.00,59.74,19.09,115.90,1.27,6.00,19.87,0.96,67.39,,,,0.97,0.00,11.60,83.43,152.88,170.32,153.12,170.56,1.38,-4.58,-20.54,
Jalan Transol.,,JALAN,Miscellaneous,3.70,5.38,,11.40,0.32,3.00,30.92,,73.52,0.00,,,1.29,0.00,-4.68,51.58,3.56,8.66,3.56,8.71,23.33,0.00,-16.85,-56.14
James Warren Tea,538564,,Tea,138.90,72.82,4.17,269.04,0.52,7.00,13.21,0.32,72.53,-2.34,0.00,0.00,1.35,0.00,4.26,68.36,132.00,124.37,131.72,124.23,4.28,27.37,87.96,1.97
Jamna Auto Inds.,520051,JAMNAAUTO,Auto Ancillaries,70.90,2825.11,77.40,12.85,5.52,4.00,35.33,2.19,50.00,2.12,6.74,8.77,31.97,2.72,28.49,2844.01,68.00,57.63,67.88,57.49,0.57,54.30,191.77,-9.25
Jamshri Realty,502901,,Textiles - Composite,1968.15,13.75,,1014.31,1.94,5.00,24.88,,74.99,0.00,0.00,0.36,0.00,0.00,-77.89,27.26,2438.93,2303.80,2458.15,2307.18,-21.27,-1.59,53.28,-5.67
Jasch Industries,500220,,Plastics Products,65.20,73.87,9.32,53.28,1.22,6.00,21.87,0.43,57.65,2.47,0.00,0.00,17.92,0.00,3.97,59.26,58.58,44.73,58.31,44.52,26.11,113.77,203.26,-5.43
Jash Engineering,,JASH,Engineering,402.35,477.64,28.31,104.12,3.86,7.00,20.39,1.39,53.18,-0.43,,,1.33,0.00,13.05,537.08,323.89,245.84,320.69,244.27,44.31,100.32,286.69,41.06
Jatalia Global,519319,,Trading,6.06,9.08,,18.34,0.33,3.00,41.36,,22.04,0.00,0.00,0.00,0.00,0.00,-4.77,32.40,6.29,5.44,6.30,5.43,20.48,-2.88,78.24,33.45
Jattashankar Ind,514318,,Textiles - Processing,22.55,9.90,17.07,31.96,0.71,4.00,16.32,1.05,72.55,-0.26,0.00,0.01,0.00,0.00,9.42,9.42,15.83,16.49,15.55,16.43,46.43,116.41,104.07,0.75
Jauss Polymers,526001,,Plastics Products,4.14,1.91,,23.11,0.18,4.00,21.87,,43.41,0.00,0.00,0.00,0.00,0.00,-8.00,1.52,4.59,6.23,4.61,6.26,-21.44,3.76,-27.75,-42.87
Jay Bharat Maru.,520066,JAYBARMARU,Auto Ancillaries,287.55,622.83,23.90,207.70,1.38,6.00,35.33,0.68,59.35,0.79,3.36,0.03,115.46,0.00,6.41,900.47,247.50,231.89,245.86,231.33,10.96,29.18,102.79,-14.39
Jay Shree Tea,509715,JAYSREETEA,Tea,91.70,264.83,41.51,100.91,0.91,3.00,13.21,3.14,50.38,-4.65,4.85,0.81,16.99,0.00,4.89,594.49,73.82,66.10,73.09,65.85,38.42,41.29,154.37,-0.70
Jay Ushin,513252,,Auto Ancillaries,444.90,171.73,,147.65,3.01,6.00,35.33,,56.35,0.05,0.00,0.02,0.00,0.00,14.20,272.30,455.73,467.26,456.18,467.48,-7.06,4.93,22.93,-9.49
Jayabharat Cred.,501311,,Finance & Investments,5.08,2.54,,-112.18,,4.00,17.34,,0.09,0.00,0.00,0.09,0.00,0.00,-2.78,2.53,4.91,6.01,4.91,6.02,-16.45,39.18,195.35,-18.23
Jayant Agro Org.,524330,JAYAGROGN,Chemicals,171.20,513.60,15.99,116.08,1.47,5.00,25.38,0.63,66.40,0.64,0.00,0.03,400.89,0.00,8.28,637.99,145.11,124.81,144.04,124.35,23.74,80.88,147.94,-16.26
Jayaswal Neco,522285,JAYNECOIND,Castings & Forgings,16.65,1063.32,,-21.78,,3.00,38.75,,68.78,-0.01,0.00,0.01,180.03,13.03,13.17,3757.53,11.81,7.37,11.61,7.28,194.69,428.57,464.41,32.55
Jayatma Enterp.,539005,,Textiles - Products,19.25,5.78,14.10,20.30,0.95,7.00,19.87,0.71,15.06,0.00,0.00,0.00,0.00,0.00,14.95,5.83,19.82,19.95,19.85,19.96,0.00,0.00,4.90,-1.27
Jayatma Industri,531323,,Textiles - Cotton/Blended,5.22,3.22,26.83,18.95,0.28,6.00,13.05,2.06,45.07,0.15,0.00,0.00,0.00,0.00,8.49,19.36,5.36,7.35,5.36,7.37,32.15,16.00,-23.24,-4.54
Jaykay Enter.,500306,,Miscellaneous,36.00,156.62,,11.79,3.05,5.00,26.63,,41.87,9.97,0.23,3.65,0.00,0.00,-187.62,129.46,33.44,18.74,33.34,18.56,87.50,802.26,1233.33,74.80
Jaypee Infratech,533207,JPINFRATEC,Construction,1.50,208.34,,-17.52,,4.00,22.98,,60.98,0.00,0.00,4.73,1828.45,83.63,-35.59,6195.47,1.61,1.59,1.61,1.59,-18.92,20.00,87.50,-37.35
Jayshree Chem.,506520,,Electric Equipment,4.19,12.29,,5.64,0.74,5.00,25.64,,46.27,0.00,0.00,2.69,3.12,0.00,-32.00,6.40,3.91,4.15,3.90,4.15,-8.52,10.26,42.03,-35.06
Jaysynth Dyestuf,506910,,Dyes And Pigments,65.00,56.55,18.79,88.81,0.73,5.00,22.02,0.85,74.75,3.97,0.00,0.07,0.00,0.00,6.34,41.76,58.64,50.60,58.38,50.46,20.48,62.09,88.68,-5.69
JBF Industries,514034,JBFIND,Textiles - Manmade,15.85,129.77,,21.25,0.75,4.00,15.85,,29.70,-12.85,6.02,2.60,42.04,93.02,43.60,1906.92,15.41,12.48,15.39,12.45,15.27,112.75,134.81,-45.88
JBM Auto,532605,JBMA,Auto Ancillaries,404.45,1913.00,59.41,147.61,2.74,5.00,35.33,1.68,67.54,5.58,0.89,0.01,100.19,0.00,14.08,2526.55,392.41,324.93,391.92,324.13,-1.25,68.70,163.92,-2.22
JCT,500223,,Textiles - Composite,1.10,95.52,34.48,3.63,0.30,4.00,24.88,1.39,28.22,-11.34,6.47,28.69,107.83,99.85,4.68,259.61,0.97,0.97,0.96,0.97,11.11,34.15,-5.17,-27.19
Jeevan Scienti.,538837,,Computers - Software - Medium / Small,90.50,138.48,13.59,17.46,5.18,2.00,27.79,0.49,38.11,0.30,0.00,0.00,0.04,0.00,8.99,149.94,73.33,48.94,72.63,48.52,51.09,195.27,330.95,31.55
Jenburkt Pharma,524731,,Pharmaceuticals - Indian - Formulations,450.90,206.94,12.00,191.46,2.36,5.00,28.21,0.43,45.73,0.13,2.57,0.00,16.61,0.00,5.64,143.55,421.27,408.26,420.06,407.83,12.16,11.86,34.06,-14.03
Jet Airways,532617,JETAIRWAYS,Transport - Airlines,88.05,1000.25,,-1371.50,,1.00,3.77,,24.99,-26.01,0.24,28.15,3817.70,0.00,-6.29,9539.56,96.35,81.53,96.69,81.46,-3.51,35.98,326.39,-43.93
Jet Freight,,JETFREIGHT,Miscellaneous,15.50,17.98,,14.88,1.04,4.00,,,69.31,-4.05,,,3.70,61.44,-18.31,51.82,16.63,23.00,16.68,23.07,-23.83,11.51,24.00,-30.98
Jet Knitwears,,JETKNIT,Textiles - Products,19.85,8.11,5.30,43.89,0.45,8.00,19.87,0.27,68.21,-5.26,,,0.00,0.00,3.87,15.33,22.04,40.80,22.13,41.01,-23.51,-0.75,-19.80,-41.43
Jetking Infotrai,517063,,Computers - Education,37.60,22.21,,61.06,0.62,2.00,95.74,,54.59,0.11,0.00,1.37,3.69,0.00,-6.20,21.70,39.05,35.19,39.11,35.16,1.62,16.95,87.53,-14.43
Jetmall Spices,543286,,Trading,19.05,11.42,76.13,,,5.00,41.36,1.84,58.45,,,,0.00,0.00,12.55,13.43,19.08,19.37,19.09,19.37,,,,
Jhandewala Foods,540850,,Food - Processing - Indian,7.27,7.46,,-6.88,,3.00,38.51,,71.63,0.00,0.00,0.00,8.58,0.00,-2.70,54.30,8.27,10.18,8.31,10.21,24.27,-3.07,26.66,-51.57
JHS Sven.Lab.,532771,JHS,Personal Care - Indian,19.60,126.22,34.32,27.73,0.71,8.00,37.88,0.91,41.77,7.76,0.47,0.00,3.18,0.00,9.06,130.35,21.42,20.81,21.50,20.82,-40.24,7.69,108.51,-30.70
Jigar Cables,540651,,Cables - Power,34.75,24.44,97.76,19.72,1.76,4.00,18.73,5.22,44.48,-4.25,0.00,0.00,0.00,0.00,17.86,28.39,28.84,30.91,28.60,30.87,31.63,47.87,51.09,-2.51
JIK Industries,511618,JIKIND,Glass & Glass Products,0.55,4.00,,-3.21,,2.00,49.02,,49.06,0.00,0.00,0.86,65.67,0.00,185.00,11.10,0.53,0.47,0.53,0.47,-8.33,37.50,37.50,0.00
Jinaam's Dress,542653,,Textiles - Products,2.80,6.24,12.00,20.82,0.13,1.00,19.87,0.60,59.69,,0.00,0.00,0.22,18.32,6.31,57.06,3.66,9.90,3.69,9.97,-44.00,-56.25,-63.01,
Jindal Capital,530405,,Finance & Investments,11.00,7.93,17.24,10.85,1.01,2.00,17.34,0.99,71.34,0.00,0.00,0.00,0.00,0.00,15.88,7.94,11.14,8.37,11.14,8.35,22.22,143.90,163.16,18.50
Jindal Cotex Ltd,533103,JINDCOT,Textiles - Spinning - Synthetic / Blended,1.90,8.55,,16.55,0.11,5.00,10.99,,21.05,0.00,0.59,14.94,327.61,93.91,151.42,224.10,1.68,2.32,1.67,2.32,31.03,31.03,31.03,-42.80
Jindal Drilling,511034,JINDRILL,Oil Drilling / Allied Services,95.90,277.92,,423.70,0.23,3.00,115.32,,67.42,3.62,0.02,0.00,0.00,0.00,-1.29,697.90,92.19,85.24,92.04,85.13,10.74,35.17,93.93,-16.35
