Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Book value,Price to book value,Piotroski score,Industry PE,PE Variance,Promoter holding,Change in promoter holding 3Years,FII holding,DII holding,Contingent liabilities,Pledged percentage,EVEBITDA,Enterprise Value,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Return over 3months,Return over 6months,Return over 1year,Return over 3years
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,781.80,7286.38,25.88,87.30,8.96,8.00,19.45,1.33,60.20,-2.28,2.99,1.76,87.80,0.00,17.62,7614.14,710.45,632.97,707.54,631.47,15.43,20.55,314.55,75.01
Aarti Industries,524208,AARTIIND,Chemicals,1696.00,29550.17,59.37,184.25,9.20,5.00,25.38,2.34,46.82,-4.25,8.66,15.64,364.45,0.00,33.42,31459.25,1419.62,1209.64,1408.33,1204.75,42.47,51.74,59.27,38.20
Aarti Surfactant,543210,AARTISURF,Chemicals,1525.85,1157.28,553.72,170.94,8.93,7.00,25.38,21.82,48.68,,1.61,0.55,3.84,0.00,52.40,1247.70,1249.79,917.01,1238.52,910.89,56.82,135.91,,
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,21.20,49.74,,82.86,0.26,4.00,13.05,,65.80,0.00,0.00,2.11,10.98,51.00,14.83,457.93,19.44,16.42,19.37,16.37,3.41,105.83,140.91,-21.27
Aarvi Encon,,AARVI,Miscellaneous,48.25,71.33,6.21,55.40,0.87,4.00,26.63,0.23,73.47,0.08,,,3.18,0.00,4.07,54.06,49.10,44.61,49.14,44.57,16.83,29.70,114.44,-19.93
AAVAS Financiers,541988,AAVAS,Finance - Housing,2210.45,17353.04,59.94,305.89,7.23,4.00,18.46,3.25,50.08,,31.86,8.49,0.00,0.00,27.17,22609.80,2233.70,1890.64,2234.65,1887.42,10.72,50.49,104.38,
Aayush Food&Herb,539528,,Pharmaceuticals - Indian - Formulations,29.00,9.41,7.71,20.55,1.41,4.00,28.21,0.27,51.28,0.00,0.00,0.00,0.00,0.00,3.53,9.00,28.69,31.45,28.67,31.47,-8.95,7.01,7.81,-20.33
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,33.45,195.23,,-2621.96,,3.00,16.67,,46.00,0.00,0.08,1.87,1124.14,19.37,-0.02,177.24,31.61,29.47,31.53,29.43,15.94,43.56,77.93,-42.06
ABans Enterprise,512165,,Trading,104.45,145.71,5.02,111.53,0.94,2.00,41.36,0.12,74.56,0.00,1.45,0.00,72.19,0.00,7.66,327.12,116.68,146.96,117.18,147.39,-20.51,-40.86,-42.92,169.77
ABB Power Produc,543187,POWERINDIA,Electric Equipment,1721.95,7297.91,,220.03,7.83,5.00,25.64,,75.00,,4.93,1.60,55.71,0.00,24.57,7018.03,1507.07,1231.12,1498.30,1226.19,34.42,82.56,115.74,
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,15850.40,33682.10,51.88,1064.69,14.89,8.00,64.20,0.81,74.99,0.00,1.01,5.53,106.44,0.00,33.68,31905.95,15029.76,15091.72,14996.26,15084.09,9.48,2.06,-10.47,36.01
ABC Gas (Int.),513119,,Mining / Minerals / Metals,8.58,1.70,,9.24,0.93,3.00,14.57,,33.09,0.13,0.00,0.00,0.29,0.00,-43.14,3.02,7.54,8.20,7.49,8.20,-14.11,32.82,115.04,-30.72
