NAME,MCAP,CMP,PE,Earning1,Earning2,Earning3,Earning4,DebtScore1,DebtScore2,DebtScore3,DebtScore4,DebtScore5,CashScore,IV-Max,IV-Avg,IV-Min,CAGR-Max,CAGR-Avg,CAGR-Min,ReturnMultiple-Max,ReturnMultiple-Avg,ReturnMultiple-Min
BAYER CROPSCIENCE LTD,23899.53,5317.85,51.65232331964557,8.0,6.0,6.0,7.0,10.0,10.0,10.0,8.0,6.0,9.0,9063.662542313701,5703.434486859425,3973.557307618277,0.25739424551935275,0.19824508379354966,0.15310906284864356,9.879038652495993,6.101780185373938,4.156270979688197
BCL ENTERPRISES LTD,4.33,7.42,1.8347457627118642,4.0,2.0,2.0,1.0,7.0,7.0,10.0,8.0,6.0,2.0,-59.76957514914958,-37.270579313099425,-25.687883492960204,,,,-47.1594896044313,-29.033435876154737,-19.697457229719966
BCL INDUSTRIES LTD,301.88,125.0,8.863182618907809,9.0,5.0,6.0,5.0,1.0,0.0,10.0,8.0,6.0,5.0,614.1585218048768,384.4923330213268,266.2580071769632,0.3986138501312031,0.3325757697834135,0.282089604359927,28.640345080588737,17.657089660005635,12.000070233049968
BCPL RAILWAY INFRASTRUCTURE LTD,74.5,44.55,12.133550488599347,4.0,4.0,4.0,4.0,8.0,5.0,10.0,8.0,6.0,4.0,-243.91645733581015,-152.26518237871136,-105.08223932242319,,,,-32.01615599854027,-19.718146182885903,-13.383951285654357
BDH INDUSTRIES LTD,55.3,96.0,9.770318021201415,7.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,6.0,6.0,1420.3403625577298,894.2507183402821,623.4147944839693,0.5606329795628249,0.48724823756308977,0.4312601866157637,85.7053243073067,52.94617971575497,36.07330275274072
BEARDSELL LTD,39.48,14.05,-25.636363636363637,7.0,2.0,2.0,2.0,10.0,3.0,10.0,8.0,0.0,4.0,109.63969683021134,68.54105248123933,47.38308171742956,0.4650703409597996,0.3958228554220302,0.34285584474676245,45.560110148500854,28.07391964681487,19.067508015332134
BEDMUTHA INDUSTRIES LTD,77.59,24.05,-1.1911268038071845,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1595.75858971848,997.0225495584361,688.7875740838182,0.8148527785743509,0.7290378997426221,0.6633853483647769,387.62698833418864,238.80594224247653,162.15439252954226
BEEKAY NIRYAT LTD,3.09,4.02,7.357142857142858,5.0,4.0,4.0,3.0,10.0,10.0,10.0,0.0,6.0,4.0,-246.26494198599266,-153.5392129274945,-105.80313073913591,,,,-358.71116132746766,-220.8257761933657,-149.80673197309866
BEEKAY STEEL INDUSTRIES LTD,699.18,366.6,10.938360450563202,5.0,5.0,6.0,5.0,7.0,2.0,10.0,8.0,6.0,7.0,2054.542268083175,1283.2360108201735,886.1602556554586,0.4175045815127916,0.35046205892323345,0.2991651059953684,32.752519395305036,20.17547983664793,13.697568289259376
BELLA CASA FASHION & RETAIL LTD,127.66,111.25,28.43207126948775,8.0,8.0,8.0,7.0,2.0,0.0,0.0,8.0,6.0,4.0,460.975218313712,288.8820168831655,200.28680937216646,0.37483495200175065,0.3099666601090272,0.26039266339910383,24.127128952312308,14.879982687167086,10.117161095328902
